datetime_et,open,high,low,close,volume,vwap,transactions,ret_log,rv_5m
2024-03-11 09:59:00-04:00,509.71,509.71,509.4299,509.4299,197278,509.5281,2259,-0.0005692980156011274,0.00045561807096016355
2024-03-11 10:00:00-04:00,509.43,509.63,509.4,509.47,152995,509.5104,1851,7.87123445995519e-05,0.00046210699404655015
2024-03-11 10:01:00-04:00,509.47,509.51,509.28,509.45,196873,509.3777,2384,-3.925725278275394e-05,0.00036431340358142474
2024-03-11 10:02:00-04:00,509.46,509.54,509.01,509.0104,273776,509.2217,2924,-0.0008632638584673558,0.00039501945345315776
2024-03-11 10:03:00-04:00,509.02,509.38,508.99,509.2,184580,509.2254,2539,0.0003724181214250777,0.0005018455125059696
2024-03-11 10:04:00-04:00,509.21,509.24,508.945,509.06,177204,509.0442,2319,-0.000274978887282451,0.0004641517425611142
2024-03-11 10:05:00-04:00,509.07,509.15,508.96,509.04,154099,509.0558,2017,-3.9288871432674455e-05,0.00045277629412030694
2024-03-11 10:06:00-04:00,509.0,509.04,508.88,508.95,166177,508.9729,1855,-0.00017681902618793544,0.0004470747764251921
2024-03-11 10:07:00-04:00,508.95,508.97,508.6,508.715,192304,508.7411,2192,-0.0004618415768984363,0.0003134551177493512
2024-03-11 10:08:00-04:00,508.71,509.04,508.71,509.02,222258,508.8529,2622,0.0005993701879782876,0.0004049578866454262
2024-03-11 10:09:00-04:00,509.0175,509.18,508.9,509.0,147020,509.0171,1788,-3.929195890606252e-05,0.0003886244909175514
2024-03-11 10:10:00-04:00,509.0,509.11,508.93,509.01,93814,509.0089,1402,1.9646172435550113e-05,0.00038892234680137385
2024-03-11 10:11:00-04:00,509.005,509.03,508.72,508.725,144295,508.8371,1857,-0.000560067222704852,0.00046071737000022943
2024-03-11 10:12:00-04:00,508.73,508.75,508.6099,508.6296,182311,508.7015,2013,-0.00018754522814301566,0.00041963843945963433
2024-03-11 10:13:00-04:00,508.63,508.67,508.5,508.605,166330,508.596,1798,-4.836642403827085e-05,0.00023455752493002898
2024-03-11 10:14:00-04:00,508.6,508.7199,508.58,508.61,91483,508.6494,2203,9.830763408658072e-06,0.00024195319227659947
2024-03-11 10:15:00-04:00,508.62,508.82,508.59,508.82,158259,508.6979,3960,0.00041280481798633417,0.00035135994230445374
2024-03-11 10:16:00-04:00,508.8299,508.86,508.72,508.78,156286,508.7803,3586,-7.861635224148955e-05,0.00023014129705215363
2024-03-11 10:17:00-04:00,508.79,509.09,508.75,509.04,211738,508.9435,3653,0.0005108958473112324,0.00027835890704700313
2024-03-11 10:18:00-04:00,509.0411,509.26,509.02,509.23,217949,509.1356,3703,0.000373181969821168,0.00026235466018441675
2024-03-11 10:19:00-04:00,509.23,509.44,509.2,509.44,213956,509.3385,3780,0.0004123023216058286,0.00023189982083236858
2024-03-11 10:20:00-04:00,509.44,509.53,509.28,509.29,184949,509.3984,3736,-0.00029448431102263584,0.00035095765275632365
2024-03-11 10:21:00-04:00,509.29,509.33,509.08,509.1,208616,509.1491,3088,-0.0003731379966502857,0.00042342598106354454
2024-03-11 10:22:00-04:00,509.09,509.13,508.97,508.97,118875,509.0432,2883,-0.0002553851910116478,0.0003862156231514342
2024-03-11 10:23:00-04:00,508.96,509.07,508.67,508.75,105759,508.8871,2661,-0.0004323389604738992,0.00034286232726906887
2024-03-11 10:24:00-04:00,508.71,508.88,508.705,508.735,102038,508.7873,2660,-2.9484464146634082e-05,0.00015444217600122574
2024-03-11 10:25:00-04:00,508.74,508.94,508.74,508.85,389992,508.774,3064,0.00022602534528193274,0.0002710705982275861
2024-03-11 10:26:00-04:00,508.87,508.98,508.72,508.88,123180,508.8497,2789,5.895473260864037e-05,0.00025990706107993937
2024-03-11 10:27:00-04:00,508.885,509.06,508.76,508.8,126421,508.9257,3127,-0.00015722034463649948,0.0002473600383884702
2024-03-11 10:28:00-04:00,508.81,508.84,508.7,508.74,81181,508.7642,2363,-0.0001179314819461652,0.00015328180640065663
2024-03-11 10:29:00-04:00,508.73,509.05,508.73,508.995,171013,508.9514,1779,0.0005011127755976119,0.0002702272449626891
2024-03-11 10:30:00-04:00,508.99,509.465,508.95,509.46,189549,509.1701,2383,0.0009131479197632686,0.0004582530933720233
2024-03-11 10:31:00-04:00,509.45,509.61,509.3,509.56,168046,509.4672,2093,0.0001962670022583879,0.00044873550149918665
2024-03-11 10:32:00-04:00,509.5701,509.83,509.49,509.8,162557,509.6547,2318,0.00047088370042924765,0.00038342616335714576
2024-03-11 10:33:00-04:00,509.79,509.94,509.7,509.7803,201997,509.8087,2653,-3.864335158798582e-05,0.0003578122353394589
